"Measurement outcome","Frequency"
"0000","2327"
"0001","139"
"0010","2173"
"0011","152"
"0100","2560"
"0101","169"
"0110","161"
"0111","1655"
"1000","418"
"1001","2593"
"1010","2243"
"1011","181"
"1100","422"
"1101","2268"
"1110","195"
"1111","2344"
